id,city_name_short,city_name_long,state,region,avg_high_temp,avg_rent,avg_rent_index,by_ocean,by_mountains,by_lake,population,zip_code,image_url
1,New York,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",NY,Northeast,62," 2,514.69 ",100,TRUE,FALSE,FALSE,20320876,10001,https://cdn.civitatis.com/guias/nuevayork/fotos/nueva-york.jpg
2,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA Metro Area",CA,Pacific,75," 1,748.72 ",69.54,TRUE,FALSE,FALSE,13353907,10001,https://images.fineartamerica.com/images/artworkimages/mediumlarge/1/los-angeles-from-above-art-k.jpg
3,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",IL,Midwest,59," 1,440.16 ",57.27,FALSE,FALSE,TRUE,9533040,10001,https://d1a9exk0cwigjo.cloudfront.net/doorsteps-api-assets/v2/locales/chicago-il/downtown/background.jpg?t=1520352994
4,Dallas,"Dallas-Fort Worth-Arlington, TX Metro Area",TX,Southwest,77," 1,105.96 ",43.98,FALSE,FALSE,FALSE,7399662,10001,https://www.dmagazine.com/wp-content/uploads/2015/06/dallas-skyline-hero.jpg
5,Houston,"Houston-The Woodlands-Sugar Land, TX Metro Area",TX,Southwest,80," 1,116.52 ",44.4,FALSE,FALSE,FALSE,6892427,10001,https://images.fineartamerica.com/images-medium-large-5/1-downtown-houston-skyline-bill-cobb.jpg
6,Washington DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",DC,Mid-Atlantic,67," 1,813.34 ",72.11,FALSE,FALSE,FALSE,6216589,10001,https://www3.swipeclock.com/wp-content/uploads/2017/06/DC-Paid-Family-Medical-leave.jpg
7,Miami,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",FL,Southeast,84," 1,580.73 ",62.86,TRUE,FALSE,FALSE,6158824,10001,https://static.mansionglobal.com/production/media/article-images/082e7c1712f84ff3e4a6f78953a9864d/large_MiamiLead_CMS.jpg
8,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",PA,Northeast,65," 1,241.25 ",49.36,FALSE,FALSE,FALSE,6096120,10001,https://www.1800packrat.com/~/media/packrat/images/locations/philadelphia/philadelphia-pennsylvania-skyline.jpg
9,Atlanta,"Atlanta-Sandy Springs-Roswell, GA Metro Area",GA,Southeast,72," 1,165.56 ",46.35,FALSE,FALSE,FALSE,5884736,10001,https://static1.squarespace.com/static/5577af78e4b062d1db045d5f/t/557f667be4b083de2028a356/1434412670631/Atlanta.jpg
10,Boston,"Boston-Cambridge-Newton, MA-NH Metro Area",MA,Northeast,59," 1,930.28 ",76.76,TRUE,FALSE,FALSE,4836531,10001,https://d21xlh2maitm24.cloudfront.net/bos/harbor-2.jpg?mtime=20160715154124